547.00|-0.0928|591.71
4012|0.0150|636.84
472.00|-0.0699|415.74
471.00|0.0551|767.29
476.00|-0.0379|16.15
355.00|-0.2857|0.13
320.00|0.3011|88.54
446.00|-0.3229|14.17
2694|0.0596|1.41
455.00|-0.0418|138.31
418.00|-0.0050|41.16
302.00|-0.0288|31.35
881.00|-0.0085|1.281
658.00|-0.1765|0.408
470.00|-0.0117|215.897
644.00|-0.0367|144.728
402.00|-0.0814|0.665
7774|0.0053|1.628
747.00|0.1513|81.061
590.00|-0.0155|191.167
441.00|-0.0916|164.892
312.00|0.3215|4.759
14967|0.0033|2.025
1548|-0.0712|354.386
397.00|-0.2789|386.95
864.00|-0.0139|5.71
653.00|-0.0087|0.86
1133|-0.1226|152.35
394.00|-0.0333|203.54
374.00|0.2359|332.76
422.00|-0.0146|389.06
1488|-0.0229|127.00
660.00|0.1195|316.10
528.00|-0.0059|176.23
956.00|-0.1319|335.61
351.00|0.2755|324.57
549.00|0.1679|164.98
423.00|0.2193|404.31
1080|-0.0008|180.78
1320|-0.0085|5.58
2338|-0.0341|3.89
448.00|0.2080|64.49
332.00|-0.3114|1.91
675.00|-0.0458|0.07
4771|0.0255|2.60
445.00|0.2189|1.21
1991|0.0239|0.66
333.00|-0.0621|0.41
301.00|-0.3446|0.81
1901|0.0939|218.79
2286|0.0309|434.07
335.00|-0.3085|250.71
345.00|-0.0139|419.02
565.00|0.0943|0.62
452.00|-0.1220|12.25
685.00|0.0533|166.65
4816|-0.0193|4.13
549.00|-0.1333|48.29
19578|0.0006|67.74
975.00|-0.0226|36.02
447.00|-0.0188|138.30
880.00|-0.1380|152.02
391.00|-0.0338|225.39
402.00|0.1972|71.73
776.00|-0.0997|149.78
352.00|0.2678|220.53
547.00|-0.0224|387.58
378.00|-0.0264|135.68
2005|-0.0103|261.43
385.00|-0.0062|410.44
375.00|0.2629|322.18
1032|-0.0024|11.34
2050|-0.0062|35.14
411.00|-0.2439|65.51
460.00|-0.0043|20.32
673.00|-0.0009|84.63
928.00|0.1307|7.07
685.00|-0.0002|1.44
320.00|0.2154|235.63
326.00|-0.2444|197.28
1237|-0.0822|282.40
1814|-0.0167|194.68
304.00|-0.4113|209.60
1641|-0.0545|470.77
343.00|-0.2924|77.06
375.00|-0.0269|542.09
973.00|0.0553|1.67
1853|0.0372|0.96
370.00|0.2618|188.65
2280|-0.0678|0.93
5972|-0.0155|198.38
338.00|0.2782|23.55
332.00|0.2609|281.37
4470|0.0150|545.86
395.00|0.2498|66.81
3210|-0.0309|80.93
876.00|0.0929|505.27
